file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
.github/workflows/sccp_mcp.yml,.github/workflows/sccp_mcp.yml,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
.github/workflows/static_analysis.yml,.github/workflows/static_analysis.yml,2024-10-17T17:50:16+04:00,2025-10-22T01:12:55+04:00,4,4,3,0.00,
.gitignore,.gitignore,2025-10-22T01:12:55+04:00,2026-02-16T09:57:29+04:00,2,2,2,0.00,
BRIDGE.md,BRIDGE.md,2025-10-22T01:12:55+04:00,2025-10-22T01:12:55+04:00,1,1,1,0.00,
Cargo.lock,Cargo.lock,2024-08-23T21:52:12+07:00,2026-02-16T09:57:29+04:00,34,34,7,0.00,
Cargo.toml,Cargo.toml,2024-09-17T21:38:14-03:00,2025-09-13T21:53:13+07:00,4,4,4,0.00,
Jenkinsfile,Jenkinsfile,2024-08-26T09:47:39+03:00,2024-08-26T09:47:39+03:00,1,1,1,0.00,
Jenkinsfile-env,Jenkinsfile-env,2024-08-26T09:47:39+03:00,2024-08-26T09:47:39+03:00,1,1,1,0.00,
common/Cargo.toml,common/Cargo.toml,2024-12-05T09:09:26+03:00,2025-09-13T21:53:13+07:00,3,3,3,0.00,
common/src/arithmetic/bounds.rs,common/src/arithmetic/bounds.rs,2025-02-14T18:55:07+03:00,2025-02-14T18:55:07+03:00,1,1,1,0.00,
common/src/arithmetic/checked.rs,common/src/arithmetic/checked.rs,2025-02-14T18:55:07+03:00,2025-02-14T18:55:07+03:00,1,1,1,0.00,
common/src/arithmetic/helpers_256bit.rs,common/src/arithmetic/helpers_256bit.rs,2025-02-14T18:55:07+03:00,2025-02-14T18:55:07+03:00,1,1,1,0.00,
common/src/arithmetic/identities.rs,common/src/arithmetic/identities.rs,2025-02-14T18:55:07+03:00,2025-02-14T18:55:07+03:00,1,1,1,0.00,
common/src/arithmetic/mod.rs,common/src/arithmetic/mod.rs,2025-02-14T18:55:07+03:00,2025-02-14T18:55:07+03:00,1,1,1,0.00,
common/src/arithmetic/saturating.rs,common/src/arithmetic/saturating.rs,2025-02-14T18:55:07+03:00,2025-02-14T18:55:07+03:00,1,1,1,0.00,
common/src/arithmetic/sp_saturating.rs,common/src/arithmetic/sp_saturating.rs,2025-02-14T18:55:07+03:00,2025-02-14T18:55:07+03:00,1,1,1,0.00,
common/src/fixed.rs,common/src/fixed.rs,2025-02-14T18:55:07+03:00,2025-03-11T15:19:01+03:00,2,2,1,0.00,
common/src/fixed_wrapper_u256.rs,common/src/fixed_wrapper_u256.rs,2025-02-14T18:55:07+03:00,2025-03-11T15:19:01+03:00,2,2,1,0.00,
common/src/lib.rs,common/src/lib.rs,2025-02-14T18:55:07+03:00,2025-03-11T15:19:01+03:00,2,2,1,0.00,
common/src/macros.rs,common/src/macros.rs,2025-03-11T15:19:01+03:00,2025-03-11T15:19:01+03:00,1,1,1,0.00,
common/src/mock.rs,common/src/mock.rs,2024-09-25T20:23:24+07:00,2026-02-15T13:30:13+04:00,16,16,5,0.00,
common/src/outcome_fee.rs,common/src/outcome_fee.rs,2024-10-08T22:20:55+03:00,2024-10-08T22:20:55+03:00,1,1,1,0.00,
common/src/primitives.rs,common/src/primitives.rs,2024-09-06T16:21:41+03:00,2025-01-23T12:10:57+03:00,10,10,3,0.00,
common/src/traits.rs,common/src/traits.rs,2024-12-09T17:45:48+03:00,2025-03-26T22:03:34+03:00,4,4,2,0.00,
common/src/weights.rs,common/src/weights.rs,2024-11-19T11:36:55+07:00,2024-11-19T11:36:55+07:00,1,1,1,0.00,
docs/sccp/BSC_LIGHT_CLIENT.md,docs/sccp/BSC_LIGHT_CLIENT.md,2026-02-15T13:30:13+04:00,2026-02-15T13:30:13+04:00,1,1,1,0.00,
docs/sccp/EVM_ANCHOR_MODE.md,docs/sccp/EVM_ANCHOR_MODE.md,2026-02-15T13:30:13+04:00,2026-02-15T13:30:13+04:00,1,1,1,0.00,
docs/sccp/FINALITY.md,docs/sccp/FINALITY.md,2026-02-15T13:30:13+04:00,2026-02-15T13:30:13+04:00,1,1,1,0.00,
docs/sccp/HUB.md,docs/sccp/HUB.md,2026-02-15T13:30:13+04:00,2026-02-15T13:30:13+04:00,1,1,1,0.00,
docs/sccp/INBOUND_TOOLING.md,docs/sccp/INBOUND_TOOLING.md,2026-02-15T13:30:13+04:00,2026-02-15T13:30:13+04:00,1,1,1,0.00,
docs/sccp/PROOF_TOOLING.md,docs/sccp/PROOF_TOOLING.md,2026-02-15T13:30:13+04:00,2026-02-15T13:30:13+04:00,1,1,1,0.00,
docs/sccp/README.md,docs/sccp/README.md,2026-02-15T13:30:13+04:00,2026-02-17T13:35:34+04:00,3,3,1,0.00,
docs/sccp/TRON_LIGHT_CLIENT.md,docs/sccp/TRON_LIGHT_CLIENT.md,2026-02-15T13:30:13+04:00,2026-02-15T13:30:13+04:00,1,1,1,0.00,
generate_chain_specs.sh,generate_chain_specs.sh,2024-10-22T00:28:06+07:00,2024-10-22T00:28:06+07:00,1,1,1,0.00,
housekeeping/docker/env/Dockerfile,housekeeping/docker/env/Dockerfile,2024-08-28T09:49:56+03:00,2024-08-28T09:49:56+03:00,1,1,1,0.00,
misc/runtime_upgrade/generate_preimage.py,misc/runtime_upgrade/generate_preimage.py,2026-02-15T13:30:13+04:00,2026-02-15T13:30:13+04:00,1,1,1,0.00,
misc/runtime_upgrade/main.py,misc/runtime_upgrade/main.py,2024-09-28T00:48:31+04:00,2024-09-28T00:48:31+04:00,1,1,1,0.00,
misc/sccp-mcp/.gitignore,misc/sccp-mcp/.gitignore,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/Cargo.lock,misc/sccp-mcp/Cargo.lock,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/Cargo.toml,misc/sccp-mcp/Cargo.toml,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/README.md,misc/sccp-mcp/README.md,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/config.example.toml,misc/sccp-mcp/config.example.toml,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/scripts/package-lock.json,misc/sccp-mcp/scripts/package-lock.json,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/scripts/package.json,misc/sccp-mcp/scripts/package.json,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/scripts/run_sora_dev_integration.sh,misc/sccp-mcp/scripts/run_sora_dev_integration.sh,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/scripts/smoke_stdio.sh,misc/sccp-mcp/scripts/smoke_stdio.sh,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/scripts/sora_dev_integration.js,misc/sccp-mcp/scripts/sora_dev_integration.js,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/src/config.rs,misc/sccp-mcp/src/config.rs,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/src/error.rs,misc/sccp-mcp/src/error.rs,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/src/main.rs,misc/sccp-mcp/src/main.rs,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/src/mcp.rs,misc/sccp-mcp/src/mcp.rs,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/src/payload.rs,misc/sccp-mcp/src/payload.rs,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/src/rpc_client.rs,misc/sccp-mcp/src/rpc_client.rs,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/src/sora_calls.rs,misc/sccp-mcp/src/sora_calls.rs,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
